Got interface enp0s3
Got process 5437
processes: 5437
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		5437
0		0/0		0/0		0		50
2		0/0		0/0		0		56
4		0/0		0/0		0		95
6		0/0		0/0		0		66
8		0/0		0/0		0		57
10		0/0		0/0		0		78
12		0/0		0/0		0		58
14		0/0		0/0		0		100
16		0/0		0/0		0		83
18		0/0		0/0		0		60
20		0/0		0/0		0		65
22		0/0		0/0		0		72
24		0/0		0/0		0		61
26		0/0		0/0		0		72
28		0/0		0/0		0		67
30		0/0		0/0		0		46
32		0/0		0/0		0		52
34		0/0		0/0		0		83
36		0/0		0/0		0		40
38		0/0		0/0		0		48
40		0/0		0/0		0		95
42		0/0		0/0		0		57
44		0/0		0/0		0		78
46		0/0		0/0		0		45
48		0/0		0/0		0		77
50		0/0		0/0		0		96
52		0/0		0/0		0		70
54		0/0		0/0		0		55
56		0/0		0/0		0		62
58		0/0		0/0		0		83
60		0/0		0/0		0		66
62		0/0		0/0		0		67
64		0/0		0/0		0		47
66		0/0		0/0		0		67
68		0/0		0/0		0		84
70		0/0		0/0		0		84
72		0/0		0/0		0		75
74		0/0		0/0		0		66
76		0/0		0/0		0		91
78		0/0		0/0		0		33
80		0/0		0/0		0		79
82		0/0		0/0		0		77
84		0/0		0/0		0		70
86		0/0		0/0		0		76
88		0/0		0/0		0		86
90		0/0		0/0		0		62
92		0/0		0/0		0		45
94		0/0		0/0		0		85
96		2/0		2/0		0		79
98		22/2		22/2		0		44
100		0/2		0/0		0		57
102		0/2		0/0		0		72
104		0/2		0/0		0		100
106		0/2		0/0		0		76
108		0/2		0/0		0		82
110		0/2		0/0		0		96
112		0/2		0/0		0		78
114		0/2		0/0		0		94
116		0/2		0/0		0		92
118		0/2		0/0		0		76
120		0/2		0/0		0		71
122		0/2		0/0		0		78
124		0/2		0/0		0		73
126		0/2		0/0		0		92
128		0/2		0/0		0		75
130		0/2		0/0		0		96
132		0/2		0/0		0		62
134		0/2		0/0		0		95
136		0/2		0/0		0		91
138		0/2		0/0		0		87
140		0/2		0/0		0		86
142		0/2		0/0		0		75
144		0/2		0/0		0		78
146		0/2		0/0		0		81
148		0/2		0/0		0		67
150		0/2		0/0		0		90
152		0/2		0/0		0		94
154		0/2		0/0		0		93
156		0/2		0/0		0		79
158		0/2		0/0		0		77
160		0/2		0/0		0		85
162		0/2		0/0		0		93
164		0/2		0/0		0		50
166		0/2		0/0		0		73
168		0/2		0/0		0		96
170		0/2		0/0		0		70
172		0/2		0/0		0		92
174		0/2		0/0		0		81
176		0/2		0/0		0		77
178		0/2		0/0		0		94
180		0/2		0/0		0		90
182		0/2		0/0		0		70
184		0/2		0/0		0		76
186		0/2		0/0		0		67
188		0/2		0/0		0		63
190		0/2		0/0		0		54
192		0/2		0/0		0		75
194		0/2		0/0		0		51
196		0/2		0/0		0		78
198		0/2		0/0		0		93
200		0/2		0/0		0		74
202		0/2		0/0		0		77
204		0/2		0/0		0		83
206		0/2		0/0		0		66
208		0/2		0/0		0		76
210		0/2		0/0		0		74
212		0/2		0/0		0		91
214		0/2		0/0		0		75
216		0/2		0/0		0		72
218		0/2		0/0		0		92
220		0/2		0/0		0		67
222		0/2		0/0		0		85
224		0/2		0/0		0		64
226		0/2		0/0		0		54
228		0/2		0/0		0		87
230		0/2		0/0		0		99
232		0/2		0/0		0		77
234		0/2		0/0		0		66
236		0/2		0/0		0		55
238		0/2		0/0		0		76
240		0/2		0/0		0		84
242		0/2		0/0		0		94
244		0/2		0/0		0		89
