Got interface enp0s3
Got process 2187
processes: 2187
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2187
0		0/0		0/0		0		6
2		16/1		16/1		0		55
4		16/2		16/1		0		5
6		8/3		8/1		0		56
8		16/4		16/1		0		50
10		10/5		10/1		0		3
12		15/6		15/1		0		63
14		14/7		14/1		0		38
16		8/8		8/1		0		6
18		12/9		12/1		0		55
20		6/9		6/0		0		4
22		13/10		13/1		0		57
24		15/11		15/1		0		52
26		8/12		8/1		0		28
28		15/13		15/1		0		5
30		15/14		15/1		0		53
32		7/15		7/1		0		5
34		12/16		12/1		0		57
36		6/16		6/0		0		52
38		11/17		11/1		0		56
40		13/18		13/1		0		4
42		10/19		10/1		0		55
44		16/20		16/1		0		57
46		8/21		8/1		0		5
48		13/22		13/1		0		52
50		13/23		13/1		0		53
52		9/24		9/1		0		56
54		16/26		16/2		0		6
56		8/27		8/1		0		6
58		12/28		12/1		0		53
60		11/29		11/1		0		53
62		7/29		7/0		0		55
64		14/30		14/1		0		60
66		13/31		13/1		0		13
68		7/32		7/1		0		32
70		13/33		13/1		0		23
72		8/34		8/1		0		7
74		14/35		14/1		0		40
76		13/36		13/1		0		19
78		8/37		8/1		0		31
80		13/38		13/1		0		33
82		8/39		8/1		0		5
84		13/40		13/1		0		60
86		12/41		12/1		0		26
88		7/41		7/0		0		58
90		12/42		12/1		0		43
92		13/43		13/1		0		50
94		7/43		7/0		0		28
96		12/44		12/1		0		12
98		7/44		7/0		0		53
100		12/45		12/1		0		28
102		11/46		11/1		0		62
104		7/46		7/0		0		27
106		12/47		12/1		0		30
108		11/48		11/1		0		40
110		17/50		17/2		0		48
112		14/51		14/1		0		6
114		8/52		8/1		0		61
116		14/53		14/1		0		7
118		16/54		16/1		0		60
120		8/55		8/1		0		26
122		8/56		8/1		0		0
124		0/56		0/0		0		0
126		0/56		0/0		0		0
128		0/56		0/0		0		0
130		0/56		0/0		0		0
132		0/56		0/0		0		0
134		0/56		0/0		0		0
136		0/56		0/0		0		0
138		0/56		0/0		0		0
140		0/56		0/0		0		0
142		0/56		0/0		0		0
144		0/56		0/0		0		0
146		0/56		0/0		0		0
148		0/56		0/0		0		0
150		0/56		0/0		0		0
152		0/56		0/0		0		0
154		0/56		0/0		0		0
156		0/56		0/0		0		0
158		0/56		0/0		0		0
160		0/56		0/0		0		0
162		0/56		0/0		0		0
164		0/56		0/0		0		0
166		0/56		0/0		0		0
168		0/56		0/0		0		0
170		0/56		0/0		0		0
172		0/56		0/0		0		0
174		0/56		0/0		0		0
176		0/56		0/0		0		0
178		0/56		0/0		0		0
180		0/56		0/0		0		0
182		0/56		0/0		0		0
184		0/56		0/0		0		0
186		0/56		0/0		0		0
188		0/56		0/0		0		0
