Got interface enp0s3
Got process 2264
processes: 2264
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2264
0		0/0		0/0		0		41
2		7/0		7/0		0		37
4		14/1		14/1		0		44
6		7/1		7/0		0		48
8		12/2		12/1		0		45
10		14/3		14/1		0		53
12		7/3		7/0		0		48
14		13/4		13/1		0		50
16		8/4		8/0		0		39
18		10/5		10/1		0		60
20		18/6		18/1		0		47
22		4/6		4/0		0		40
24		16/7		16/1		0		55
26		12/8		12/1		0		41
28		13/9		13/1		0		47
30		12/10		12/1		0		45
32		10/11		10/1		0		57
34		15/12		15/1		0		41
36		15/13		15/1		0		42
38		9/14		9/1		0		52
40		16/16		16/2		0		46
42		15/17		15/1		0		42
44		9/18		9/1		0		0
