Got interface enp0s3
Got process 9335
processes: 9335
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		9335
0		0/0		0/0		0		69
2		0/0		0/0		0		83
4		0/0		0/0		0		82
6		0/0		0/0		0		83
8		0/0		0/0		0		70
10		0/0		0/0		0		73
12		0/0		0/0		0		70
14		0/0		0/0		0		66
16		0/0		0/0		0		65
18		0/0		0/0		0		93
20		0/0		0/0		0		67
22		0/0		0/0		0		79
24		0/0		0/0		0		70
26		7/0		7/0		0		72
28		1/0		1/0		0		68
30		16/1		16/1		0		68
32		0/1		0/0		0		69
34		0/1		0/0		0		83
36		0/1		0/0		0		78
38		0/1		0/0		0		81
40		0/1		0/0		0		72
42		0/1		0/0		0		76
44		0/1		0/0		0		72
46		0/1		0/0		0		72
48		0/1		0/0		0		83
50		0/1		0/0		0		73
52		0/1		0/0		0		63
54		0/1		0/0		0		77
56		0/1		0/0		0		62
58		0/1		0/0		0		69
60		0/1		0/0		0		85
62		0/1		0/0		0		86
64		0/1		0/0		0		84
66		0/1		0/0		0		68
68		0/1		0/0		0		79
70		0/1		0/0		0		85
72		0/1		0/0		0		78
74		0/1		0/0		0		74
76		0/1		0/0		0		68
78		0/1		0/0		0		72
80		0/1		0/0		0		75
82		0/1		0/0		0		65
84		0/1		0/0		0		76
86		0/1		0/0		0		0
88		0/1		0/0		0		0
90		0/1		0/0		0		0
92		0/1		0/0		0		0
