Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
0		0/0		0/0		0		58
2		30/420		30/420		0		51
4		18/668		18/248		0		38
6		26/979		26/311		0		62
8		25/1262		25/283		0		56
10		8/1263		8/1		0		57
12		12/1264		12/1		0		58
14		6/1264		6/0		0		58
16		23/1552		23/288		0		52
18		26/1929		26/377		0		7
20		7/1930		7/1		0		58
22		11/1931		11/1		0		53
24		12/1932		12/1		0		62
26		9/1994		9/62		0		55
28		29/2406		29/412		0		48
30		16/2612		16/206		0		8
32		15/2641		15/29		0		65
34		14/2642		14/1		0		7
36		8/2643		8/1		0		51
38		24/2922		24/279		0		55
40		17/3153		17/231		0		52
42		24/3407		24/254		0		8
44		11/3408		11/1		0		61
46		6/3408		6/0		0		55
48		11/3409		11/1		0		63
50		26/3750		26/341		0		61
52		18/3984		18/234		0		10
54		35/4519		35/535		0		55
56		14/4668		14/149		0		67
58		13/4669		13/1		0		61
60		15/4670		15/1		0		50
62		8/4670		8/0		0		10
64		24/4941		24/271		0		62
66		15/4957		15/16		0		7
68		13/4958		13/1		0		60
70		20/5138		20/180		0		12
72		19/5401		19/263		0		48
74		32/5769		32/368		0		58
76		18/5771		18/2		0		58
78		11/5772		11/1		0		58
80		17/5774		17/2		0		7
82		37/6279		37/505		0		51
84		26/6533		26/254		0		59
86		15/6534		15/1		0		54
88		8/6535		8/1		0		7
90		19/6648		19/113		0		40
92		36/7157		36/509		0		42
94		29/7615		29/458		0		45
96		27/8205		27/590		0		7
98		0/8205		0/0		0		60
100		23/8207		23/2		0		57
102		9/8208		9/1		0		6
104		12/8308		12/100		0		55
106		26/8776		26/468		0		60
108		11/9042		11/266		0		51
110		27/9288		27/246		0		57
112		21/9827		21/539		0		8
114		13/10080		13/253		0		47
116		33/10475		33/395		0		62
118		12/10750		12/275		0		53
120		30/11180		30/430		0		67
122		23/11529		23/349		0		52
124		9/11529		9/0		0		60
126		14/11530		14/1		0		63
128		0/11530		0/0		0		8
130		2/11530		2/0		0		53
132		24/11532		24/2		0		61
134		12/11533		12/1		0		62
136		22/11935		22/402		0		8
138		19/12421		19/486		0		33
140		16/12683		16/262		0		50
142		30/13119		30/436		0		66
144		11/13409		11/290		0		12
146		22/13739		22/330		0		53
148		27/14205		27/466		0		56
150		10/14479		10/274		0		12
152		19/14790		19/311		0		41
154		16/15072		16/282		0		48
156		21/15325		21/253		0		7
158		10/15326		10/1		0		55
160		10/15326		10/0		0		63
162		15/15460		15/134		0		60
164		23/15898		23/438		0		60
166		12/16201		12/303		0		10
168		23/16509		23/308		0		60
170		5/16509		5/0		0		60
172		7/16509		7/0		0		47
174		11/16510		11/1		0		43
176		16/16763		16/253		0		53
178		22/17230		22/467		0		59
180		27/17696		27/466		0		9
182		10/17948		10/252		0		53
184		24/18411		24/463		0		63
186		9/18506		9/95		0		10
188		18/18965		18/459		0		55
190		27/19387		27/422		0		61
192		12/19693		12/306		0		53
194		29/20142		29/449		0		68
196		12/20187		12/45		0		47
198		28/20636		28/449		0		62
200		23/20997		23/361		0		52
202		5/20997		5/0		0		7
204		11/20998		11/1		0		76
206		5/20998		5/0		0		61
208		15/21111		15/113		0		62
210		18/21198		18/87		0		60
212		6/21198		6/0		0		7
214		11/21199		11/1		0		61
216		20/21435		20/236		0		67
218		18/21908		18/473		0		62
220		15/22128		15/220		0		48
222		22/22344		22/216		0		57
224		16/22755		16/411		0		61
226		17/22756		17/1		0		53
228		5/22756		5/0		0		62
230		11/22757		11/1		0		7
232		7/22952		7/195		0		41
234		21/23131		21/179		0		60
236		9/23131		9/0		0		62
238		0/23131		0/0		0		51
240		14/23275		14/144		0		60
242		30/23706		30/431		0		57
244		13/23908		13/202		0		62
246		11/23909		11/1		0		56
248		5/23909		5/0		0		40
250		10/23910		10/1		0		66
252		32/24282		32/372		0		52
254		11/24551		11/269		0		32
256		30/25072		30/521		0		57
258		21/25368		21/296		0		63
260		22/25702		22/334		0		60
262		10/25703		10/1		0		56
264		7/25703		7/0		0		55
266		15/25704		15/1		0		51
268		30/26198		30/494		0		62
270		10/26239		10/41		0		50
272		18/26240		18/1		0		45
274		10/26240		10/0		0		58
276		19/26310		19/70		0		62
278		26/26743		26/433		0		68
280		9/26743		9/0		0		20
282		8/26743		8/0		0		60
284		5/26743		5/0		0		47
286		34/27053		34/310		0		62
288		15/27223		15/170		0		58
290		8/27223		8/0		0		56
292		14/27224		14/1		0		66
294		30/27399		30/175		0		60
296		10/27673		10/274		0		50
298		28/28079		28/406		0		63
300		7/28079		7/0		0		58
302		15/28080		15/1		0		55
304		8/28080		8/0		0		62
306		7/28080		7/0		0		62
308		18/28081		18/1		0		7
310		9/28090		9/9		0		62
312		19/28351		19/261		0		51
314		29/28873		29/522		0		8
316		13/29062		13/189		0		68
318		22/29331		22/269		0		61
320		21/29751		21/420		0		46
322		7/29926		7/175		0		43
324		26/30261		26/335		0		53
326		9/30261		9/0		0		57
328		17/30262		17/1		0		56
330		6/30262		6/0		0		68
332		14/30544		14/282		0		8
334		11/30578		11/34		0		60
336		6/30578		6/0		0		55
338		12/30579		12/1		0		8
340		17/30915		17/336		0		62
342		16/31142		16/227		0		66
344		27/31536		27/394		0		48
346		20/31966		20/430		0		62
348		13/32228		13/262		0		68
350		29/32475		29/247		0		8
352		12/32785		12/310		0		56
