Got interface enp0s3
Got process 19056
processes: 19056
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		19056
0		0/0		0/0		0		46
2		12/1		12/1		0		47
4		12/2		12/1		0		47
6		12/3		12/1		0		48
8		7/3		7/0		0		56
10		11/4		11/1		0		40
12		13/5		13/1		0		45
14		7/5		7/0		0		51
16		11/6		11/1		0		38
18		6/6		6/0		0		34
20		13/7		13/1		0		47
22		12/8		12/1		0		41
24		7/8		7/0		0		42
26		12/9		12/1		0		47
28		8/10		8/1		0		37
30		13/11		13/1		0		45
32		14/12		14/1		0		40
34		9/13		9/1		0		50
36		10/14		10/1		0		33
38		14/16		14/2		0		52
40		14/17		14/1		0		57
42		13/18		13/1		0		55
44		8/18		8/0		0		47
46		10/19		10/1		0		51
48		11/20		11/1		0		46
50		7/20		7/0		0		41
52		13/21		13/1		0		45
54		6/21		6/0		0		43
56		12/22		12/1		0		41
58		12/23		12/1		0		42
60		7/23		7/0		0		42
62		13/24		13/1		0		42
64		8/25		8/1		0		48
66		12/26		12/1		0		48
68		11/27		11/1		0		52
70		6/27		6/0		0		45
72		11/28		11/1		0		53
74		11/29		11/1		0		45
76		7/29		7/0		0		47
78		13/30		13/1		0		43
80		7/31		7/1		0		48
82		13/32		13/1		0		36
84		18/34		18/2		0		47
86		11/35		11/1		0		48
88		18/37		18/2		0		40
90		3/37		3/0		0		52
92		16/38		16/1		0		50
94		7/38		7/0		0		60
96		10/39		10/1		0		52
98		7/39		7/0		0		38
100		14/40		14/1		0		62
102		14/41		14/1		0		72
104		10/41		10/0		0		54
106		5/41		5/0		0		63
108		12/42		12/1		0		50
110		2/42		2/0		0		66
112		16/43		16/1		0		59
114		12/44		12/1		0		56
116		3/44		3/0		0		73
118		15/45		15/1		0		52
120		10/46		10/1		0		41
122		5/46		5/0		0		66
124		15/47		15/1		0		58
126		0/47		0/0		0		53
128		17/48		17/1		0		53
130		15/49		15/1		0		58
132		6/49		6/0		0		52
134		11/50		11/1		0		46
136		6/50		6/0		0		47
138		10/51		10/1		0		52
140		10/52		10/1		0		43
142		7/52		7/0		0		53
144		12/53		12/1		0		60
146		12/54		12/1		0		40
148		7/55		7/1		0		51
150		12/56		12/1		0		41
152		7/56		7/0		0		48
154		13/57		13/1		0		43
156		10/58		10/1		0		41
158		8/58		8/0		0		57
160		14/59		14/1		0		65
162		0/59		0/0		0		65
164		14/60		14/1		0		61
166		14/61		14/1		0		55
168		0/61		0/0		0		56
170		14/62		14/1		0		61
172		14/63		14/1		0		62
174		0/63		0/0		0		62
176		12/64		12/1		0		68
178		15/65		15/1		0		50
180		9/66		9/1		0		59
182		14/67		14/1		0		62
184		6/67		6/0		0		46
186		12/68		12/1		0		47
188		7/68		7/0		0		50
190		11/69		11/1		0		55
192		11/70		11/1		0		50
194		6/70		6/0		0		48
196		10/71		10/1		0		43
