Got process 3807
Got interface enp0s3
processes: 3807
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		3807
0		0/1		0/1		0		53
2		26/414		26/413		0		8
4		17/667		17/253		0		57
6		20/903		20/236		0		61
8		24/1255		24/352		0		32
10		11/1384		11/129		0		61
12		9/1385		9/1		0		57
14		5/1385		5/0		0		28
16		12/1463		12/78		0		50
18		25/1837		25/374		0		51
20		15/2043		15/206		0		62
22		11/2044		11/1		0		58
24		11/2045		11/1		0		8
26		5/2045		5/0		0		63
28		22/2349		22/304		0		52
30		15/2579		15/230		0		10
32		31/3031		31/452		0		48
34		26/3398		26/367		0		60
36		6/3398		6/0		0		8
38		11/3399		11/1		0		61
40		6/3399		6/0		0		10
42		13/3522		13/123		0		57
44		26/3964		26/442		0		61
46		7/3999		7/35		0		63
48		9/4000		9/1		0		53
50		5/4000		5/0		0		61
52		12/4070		12/70		0		47
54		27/4500		27/430		0		47
56		15/4741		15/241		0		66
58		9/4742		9/1		0		55
60		9/4743		9/1		0		56
62		5/4743		5/0		0		56
64		22/5036		22/293		0		60
66		6/5036		6/0		0		53
68		9/5037		9/1		0		58
70		10/5038		10/1		0		54
72		14/5247		14/209		0		45
74		19/5496		19/249		0		60
76		10/5497		10/1		0		8
78		6/5497		6/0		0		65
80		16/5640		16/143		0		47
82		16/5919		16/279		0		45
84		26/6315		26/396		0		61
86		11/6352		11/37		0		61
88		7/6353		7/1		0		60
90		11/6354		11/1		0		58
92		17/6535		17/181		0		36
94		17/6812		17/277		0		56
96		14/6933		14/121		0		58
98		5/6933		5/0		0		66
100		8/6934		8/1		0		58
102		16/7097		16/163		0		38
104		15/7335		15/238		0		8
106		25/7743		25/408		0		58
108		4/7743		4/0		0		60
110		8/7744		8/1		0		60
112		8/7745		8/1		0		30
114		8/7831		8/86		0		50
116		16/8009		16/178		0		12
118		5/8009		5/0		0		56
120		9/8010		9/1		0		2
122		17/8212		17/202		0		56
124		10/8331		10/119		0		31
126		8/8332		8/1		0		52
128		8/8333		8/1		0		50
130		7/8408		7/75		0		60
132		22/8672		22/264		0		23
134		6/8672		6/0		0		61
136		11/8673		11/1		0		46
138		18/8852		18/179		0		62
140		18/9142		18/290		0		61
142		13/9257		13/115		0		48
144		9/9258		9/1		0		7
146		5/9258		5/0		0		31
148		16/9442		16/184		0		56
150		15/9669		15/227		0		7
152		11/9670		11/1		0		8
154		11/9671		11/1		0		61
156		9/9739		9/68		0		18
158		31/10221		31/482		0		54
160		9/10291		9/70		0		62
162		10/10292		10/1		0		10
164		8/10293		8/1		0		46
166		7/10351		7/58		0		23
168		31/10858		31/507		0		53
170		30/11253		30/395		0		47
172		18/11509		18/256		0		43
174		19/11682		19/173		0		11
176		5/11682		5/0		0		63
178		10/11683		10/1		0		66
180		9/11684		9/1		0		62
182		14/11914		14/230		0		52
184		26/12344		26/430		0		53
186		14/12585		14/241		0		43
188		18/12842		18/257		0		55
190		23/13194		23/352		0		53
192		5/13194		5/0		0		61
194		8/13195		8/1		0		42
196		9/13197		9/2		0		44
198		16/13464		16/267		0		46
200		26/13887		26/423		0		28
202		15/14124		15/237		0		57
204		16/14286		16/162		0		60
206		11/14287		11/1		0		65
208		7/14287		7/0		0		61
210		17/14432		17/145		0		57
212		16/14686		16/254		0		58
214		15/14834		15/148		0		55
216		10/14835		10/1		0		54
218		5/14835		5/0		0		53
220		14/14977		14/142		0		42
222		28/15426		28/449		0		52
224		17/15673		17/247		0		56
226		24/15992		24/319		0		61
228		8/15993		8/1		0		60
230		12/15994		12/1		0		57
232		14/15995		14/1		0		50
234		19/16300		19/305		0		50
236		32/16761		32/461		0		58
238		16/16967		16/206		0		62
240		25/17291		25/324		0		65
242		32/17784		32/493		0		51
244		9/17865		9/81		0		50
246		10/17866		10/1		0		8
248		6/17867		6/1		0		65
250		15/17979		15/112		0		57
252		25/18391		25/412		0		51
254		15/18643		15/252		0		63
256		10/18658		10/15		0		62
258		10/18659		10/1		0		65
260		5/18659		5/0		0		62
262		23/18983		23/324		0		53
264		17/19254		17/271		0		58
266		29/19710		29/456		0		57
268		17/19876		17/166		0		60
270		6/19876		6/0		0		8
272		11/19877		11/1		0		60
274		6/19877		6/0		0		61
276		22/20198		22/321		0		47
278		25/20589		25/391		0		59
280		6/20590		6/1		0		61
282		11/20591		11/1		0		7
284		6/20591		6/0		0		60
286		15/20704		15/113		0		48
288		30/21182		30/478		0		56
290		14/21375		14/193		0		60
292		11/21376		11/1		0		38
294		11/21377		11/1		0		58
296		6/21378		6/1		0		65
298		27/21748		27/370		0		58
300		17/21994		17/246		0		54
302		19/22179		19/185		0		56
304		11/22180		11/1		0		57
306		6/22180		6/0		0		43
308		19/22338		19/158		0		61
310		18/22603		18/265		0		50
312		15/22664		15/61		0		11
314		11/22665		11/1		0		60
316		6/22665		6/0		0		32
318		26/23012		26/347		0		52
320		17/23263		17/251		0		58
322		28/23673		28/410		0		56
324		23/23946		23/273		0		17
326		7/23946		7/0		0		56
328		13/23947		13/1		0		32
330		12/23948		12/1		0		52
332		17/24205		17/257		0		62
334		22/24478		22/273		0		32
336		7/24478		7/0		0		63
338		12/24479		12/1		0		53
340		11/24480		11/1		0		53
342		16/24714		16/234		0		11
344		28/25115		28/401		0		63
346		12/25116		12/1		0		58
348		6/25116		6/0		0		37
350		12/25117		12/1		0		53
352		18/25391		18/274		0		51
354		18/25539		18/148		0		58
356		12/25540		12/1		0		30
358		7/25540		7/0		0		57
360		19/25681		19/141		0		51
362		19/25956		19/275		0		56
364		33/26439		33/483		0		11
366		20/26645		20/206		0		62
368		6/26645		6/0		0		61
370		10/26646		10/1		0		51
372		11/26650		11/4		0		7
374		21/27002		21/352		0		55
376		30/27496		30/494		0		53
378		11/27637		11/141		0		58
380		11/27638		11/1		0		60
382		12/27639		12/1		0		60
384		10/27711		10/72		0		53
386		30/28153		30/442		0		61
388		8/28154		8/1		0		42
390		14/28155		14/1		0		50
392		15/28156		15/1		0		58
394		21/28482		21/326		0		51
396		17/28548		17/66		0		51
398		9/28549		9/1		0		57
400		15/28550		15/1		0		61
402		30/28931		30/381		0		13
404		21/29237		21/306		0		61
406		18/29241		18/4		0		58
408		14/29242		14/1		0		62
410		7/29242		7/0		0		60
412		25/29550		25/308		0		7
414		17/29821		17/271		0		52
416		21/30083		21/262		0		61
418		25/30438		25/355		0		8
420		16/30689		16/251		0		67
422		11/30690		11/1		0		58
424		7/30691		7/1		0		61
426		11/30692		11/1		0		48
428		25/31053		25/361		0		52
430		17/31298		17/245		0		60
432		13/31323		13/25		0		7
434		12/31324		12/1		0		53
436		8/31325		8/1		0		61
438		31/31741		31/416		0		58
440		17/31977		17/236		0		55
442		31/32396		31/419		0		58
444		18/32431		18/35		0		63
446		11/32432		11/1		0		56
448		19/32434		19/2		0		60
450		12/32473		12/39		0		8
452		36/32911		36/438		0		56
454		33/33324		33/413		0		68
456		11/33384		11/60		0		56
458		34/33827		34/443		0		7
460		20/34106		20/279		0		63
462		26/34332		26/226		0		51
464		32/34763		32/431		0		58
466		17/34993		17/230		0		52
468		30/35349		30/356		0		62
470		9/35350		9/1		0		67
472		16/35351		16/1		0		68
474		14/35352		14/1		0		47
476		15/35599		15/247		0		63
478		25/36026		25/427		0		56
480		15/36274		15/248		0		57
482		24/36656		24/382		0		59
484		21/36954		21/298		0		10
486		6/36954		6/0		0		65
488		10/36955		10/1		0		10
490		10/36960		10/5		0		56
492		15/37208		15/248		0		36
494		25/37601		25/393		0		57
496		5/37601		5/0		0		62
498		8/37602		8/1		0		56
500		11/37603		11/1		0		15
502		9/37669		9/66		0		52
504		18/37839		18/170		0		58
506		6/37839		6/0		0		57
508		10/37840		10/1		0		51
510		15/37997		15/157		0		52
512		15/38253		15/256		0		55
514		15/38404		15/151		0		62
516		10/38405		10/1		0		57
518		6/38405		6/0		0		65
520		17/38549		17/144		0		48
522		17/38816		17/267		0		55
524		17/38968		17/152		0		61
526		9/38969		9/1		0		40
528		6/38969		6/0		0		65
530		18/39124		18/155		0		10
532		28/39559		28/435		0		46
534		16/39816		16/257		0		47
536		26/40215		26/399		0		8
538		5/40215		5/0		0		60
540		9/40216		9/1		0		45
542		9/40217		9/1		0		61
544		8/40292		8/75		0		40
546		29/40774		29/482		0		57
548		9/40859		9/85		0		63
550		10/40860		10/1		0		58
552		10/40861		10/1		0		10
554		8/40908		8/47		0		51
556		29/41388		29/480		0		47
558		15/41482		15/94		0		61
560		6/41482		6/0		0		58
562		11/41483		11/1		0		59
564		7/41522		7/39		0		53
566		23/41848		23/326		0		38
568		9/41849		9/1		0		16
570		5/41849		5/0		0		52
572		18/42074		18/225		0		52
574		11/42195		11/121		0		6
576		12/42196		12/1		0		28
578		10/42197		10/1		0		51
580		8/42250		8/53		0		55
582		25/42649		25/399		0		8
584		11/42650		11/1		0		41
586		7/42650		7/0		0		61
588		12/42651		12/1		0		68
590		15/42899		15/248		0		35
592		26/43312		26/413		0		23
594		9/43313		9/1		0		55
596		6/43313		6/0		0		48
598		10/43314		10/1		0		42
600		15/43558		15/244		0		48
602		14/43652		14/94		0		7
604		9/43653		9/1		0		47
606		5/43653		5/0		0		56
608		23/44002		23/349		0		52
610		9/44003		9/1		0		42
612		5/44003		5/0		0		7
614		9/44004		9/1		0		40
616		16/44275		16/271		0		50
618		31/44800		31/525		0		53
620		11/44853		11/53		0		53
622		5/44853		5/0		0		8
624		9/44854		9/1		0		57
626		6/44874		6/20		0		21
628		31/45401		31/527		0		56
630		14/45505		14/104		0		63
632		5/45505		5/0		0		10
634		10/45506		10/1		0		6
636		19/45728		19/222		0		47
638		16/45969		16/241		0		57
640		19/46148		19/179		0		63
642		6/46149		6/1		0		27
644		14/46150		14/1		0		57
646		20/46344		20/194		0		58
648		17/46588		17/244		0		51
650		31/47027		31/439		0		56
652		16/47239		16/212		0		55
654		27/47654		27/415		0		55
656		17/47812		17/158		0		7
658		18/48093		18/281		0		55
660		27/48481		27/388		0		47
662		16/48714		16/233		0		60
664		25/49023		25/309		0		57
666		30/49431		30/408		0		55
668		16/49632		16/201		0		61
670		24/49974		24/342		0		56
672		10/50089		10/115		0		65
674		10/50090		10/1		0		67
676		10/50091		10/1		0		61
678		8/50151		8/60		0		8
680		28/50620		28/469		0		59
682		9/50621		9/1		0		8
684		5/50621		5/0		0		60
686		10/50622		10/1		0		11
688		15/50855		15/233		0		51
690		25/51173		25/318		0		61
692		10/51174		10/1		0		58
694		7/51174		7/0		0		60
696		11/51175		11/1		0		65
698		29/51628		29/453		0		59
700		9/51699		9/71		0		61
702		11/51700		11/1		0		63
704		6/51700		6/0		0		7
706		15/51830		15/130		0		57
708		29/52289		29/459		0		7
710		17/52561		17/272		0		47
712		26/52954		26/393		0		65
714		5/52954		5/0		0		20
716		10/52955		10/1		0		58
718		12/52956		12/1		0		57
720		8/53009		8/53		0		50
722		27/53429		27/420		0		57
724		13/53507		13/78		0		61
726		6/53507		6/0		0		59
728		11/53508		11/1		0		47
730		6/53535		6/27		0		32
732		29/54007		29/472		0		51
734		14/54096		14/89		0		56
736		7/54096		7/0		0		60
738		13/54097		13/1		0		55
740		19/54281		19/184		0		51
742		15/54524		15/243		0		52
744		18/54716		18/192		0		61
746		5/54716		5/0		0		62
748		10/54717		10/1		0		56
750		20/54967		20/250		0		48
752		26/55234		26/267		0		46
754		13/55235		13/1		0		60
756		6/55235		6/0		0		51
758		21/55386		21/151		0		51
760		31/55770		31/384		0		53
762		11/55880		11/110		0		8
764		12/55881		12/1		0		62
766		7/55881		7/0		0		60
768		13/55882		13/1		0		66
770		26/56232		26/350		0		39
772		15/56462		15/230		0		11
774		11/56463		11/1		0		60
776		6/56463		6/0		0		58
778		10/56464		10/1		0		46
780		25/56824		25/360		0		60
782		15/57064		15/240		0		58
784		10/57065		10/1		0		11
786		10/57066		10/1		0		45
788		6/57066		6/0		0		63
790		27/57485		27/419		0		51
792		13/57636		13/151		0		8
794		12/57637		12/1		0		58
796		11/57638		11/1		0		37
798		7/57691		7/53		0		54
800		27/58155		27/464		0		58
802		15/58422		15/267		0		58
804		26/58856		26/434		0		50
806		15/58979		15/123		0		47
808		6/58979		6/0		0		37
810		10/58980		10/1		0		58
812		22/59187		22/207		0		57
814		17/59440		17/253		0		57
816		13/59511		13/71		0		57
818		7/59511		7/0		0		7
820		13/59512		13/1		0		56
822		23/59756		23/244		0		58
824		19/60041		19/285		0		48
826		17/60108		17/67		0		58
828		8/60109		8/1		0		61
830		15/60110		15/1		0		66
832		18/60277		18/167		0		60
834		16/60522		16/245		0		51
836		23/60819		23/297		0		60
838		27/61202		27/383		0		45
840		20/61456		20/254		0		47
842		26/61665		26/209		0		62
844		10/61666		10/1		0		62
846		18/61668		18/2		0		67
848		18/61670		18/2		0		46
850		21/61925		21/255		0		51
852		37/62378		37/453		0		55
854		17/62519		17/141		0		65
856		16/62520		16/1		0		10
858		12/62521		12/1		0		56
860		8/62567		8/46		0		66
862		28/63021		28/454		0		8
864		29/63512		29/491		0		47
866		14/63747		14/235		0		57
868		26/64176		26/429		0		62
870		13/64378		13/202		0		10
872		20/64683		20/305		0		60
874		26/65117		26/434		0		56
876		18/65358		18/241		0		50
878		27/65787		27/429		0		48
880		12/65941		12/154		0		52
882		11/65942		11/1		0		56
884		12/65943		12/1		0		63
886		7/65943		7/0		0		58
888		24/66262		24/319		0		13
890		17/66520		17/258		0		60
892		13/66521		13/1		0		58
894		11/66522		11/1		0		65
896		6/66522		6/0		0		61
898		24/66880		24/358		0		55
900		15/67116		15/236		0		67
902		12/67168		12/52		0		28
904		10/67169		10/1		0		65
906		5/67169		5/0		0		13
908		23/67495		23/326		0		53
910		26/67874		26/379		0		65
912		6/67875		6/1		0		67
914		11/67876		11/1		0		63
916		6/67876		6/0		0		11
918		21/68131		21/255		0		56
920		24/68480		24/349		0		56
922		5/68480		5/0		0		60
924		10/68481		10/1		0		45
926		10/68482		10/1		0		57
928		15/68715		15/233		0		56
930		26/69081		26/366		0		60
932		6/69081		6/0		0		58
934		9/69082		9/1		0		65
936		9/69083		9/1		0		57
938		15/69336		15/253		0		58
940		23/69690		23/354		0		58
942		9/69691		9/1		0		7
944		9/69692		9/1		0		62
946		15/69857		15/165		0		52
948		15/70100		15/243		0		57
950		28/70518		28/418		0		53
952		29/70912		29/394		0		63
954		6/70912		6/0		0		66
956		10/70913		10/1		0		7
958		5/70913		5/0		0		56
960		13/71009		13/96		0		48
962		26/71448		26/439		0		56
964		11/71604		11/156		0		61
966		10/71605		10/1		0		57
968		13/71606		13/1		0		57
970		6/71607		6/1		0		51
972		23/71954		23/347		0		50
974		14/72186		14/232		0		63
976		11/72224		11/38		0		27
978		8/72225		8/1		0		47
980		4/72225		4/0		0		42
982		20/72522		20/297		0		26
984		5/72522		5/0		0		37
986		9/72523		9/1		0		18
988		9/72524		9/1		0		62
990		17/72807		17/283		0		60
992		18/73014		18/207		0		21
994		8/73015		8/1		0		42
996		5/73015		5/0		0		21
998		15/73190		15/175		0		56
1000		19/73556		19/366		0		40
1002		13/73638		13/82		0		45
1004		10/73640		10/2		0		61
1006		5/73640		5/0		0		48
1008		23/74014		23/374		0		40
1010		5/74014		5/0		0		61
1012		10/74015		10/1		0		7
1014		10/74016		10/1		0		12
1016		17/74289		17/273		0		52
1018		18/74389		18/100		0		60
1020		13/74390		13/1		0		48
