Got interface enp0s3
Got process 8212
processes: 8212
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		8212
0		0/0		0/0		0		72
2		36/3		36/3		0		60
4		0/3		0/0		0		75
6		0/3		0/0		0		73
8		0/3		0/0		0		47
10		13/4		13/1		0		71
12		0/4		0/0		0		81
14		0/4		0/0		0		46
16		15/5		15/1		0		72
18		0/5		0/0		0		77
20		0/5		0/0		0		77
22		12/6		12/1		0		68
24		0/6		0/0		0		81
26		8/6		8/0		0		56
28		14/7		14/1		0		40
30		0/7		0/0		0		63
32		0/7		0/0		0		67
34		13/8		13/1		0		85
36		0/8		0/0		0		86
38		0/8		0/0		0		73
40		0/8		0/0		0		58
42		14/9		14/1		0		80
44		0/9		0/0		0		81
46		0/9		0/0		0		76
48		0/9		0/0		0		54
50		15/10		15/1		0		65
52		0/10		0/0		0		65
54		7/10		7/0		0		41
56		7/10		7/0		0		75
58		0/10		0/0		0		78
60		0/10		0/0		0		64
62		14/11		14/1		0		77
64		0/11		0/0		0		68
66		0/11		0/0		0		65
68		13/12		13/1		0		77
70		0/12		0/0		0		58
72		0/12		0/0		0		46
74		13/13		13/1		0		37
76		0/13		0/0		0		63
78		0/13		0/0		0		72
80		15/14		15/1		0		52
82		0/14		0/0		0		68
84		0/14		0/0		0		60
86		18/15		18/1		0		71
88		0/15		0/0		0		77
90		0/15		0/0		0		62
92		0/15		0/0		0		80
94		20/16		20/1		0		67
96		4/16		4/0		0		67
98		0/16		0/0		0		57
100		0/16		0/0		0		47
102		0/16		0/0		0		80
104		11/17		11/1		0		70
106		2/17		2/0		0		75
108		0/17		0/0		0		63
110		0/17		0/0		0		37
112		0/17		0/0		0		72
114		13/18		13/1		0		77
116		0/18		0/0		0		75
118		0/18		0/0		0		68
120		0/18		0/0		0		71
122		0/18		0/0		0		43
124		13/19		13/1		0		75
126		0/19		0/0		0		67
128		0/19		0/0		0		68
130		0/19		0/0		0		41
132		13/20		13/1		0		60
134		0/20		0/0		0		70
136		0/20		0/0		0		68
138		0/20		0/0		0		65
140		0/20		0/0		0		45
142		10/21		10/1		0		66
144		0/21		0/0		0		81
146		0/21		0/0		0		76
148		0/21		0/0		0		65
150		0/21		0/0		0		58
152		3/21		3/0		0		69
154		0/21		0/0		0		79
156		0/21		0/0		0		72
158		0/21		0/0		0		63
160		0/21		0/0		0		64
162		0/21		0/0		0		79
164		0/21		0/0		0		83
166		0/21		0/0		0		76
168		0/21		0/0		0		72
170		0/21		0/0		0		64
172		0/21		0/0		0		82
174		0/21		0/0		0		75
176		0/21		0/0		0		67
178		0/21		0/0		0		73
180		0/21		0/0		0		77
182		0/21		0/0		0		67
184		0/21		0/0		0		62
186		0/21		0/0		0		73
188		0/21		0/0		0		62
190		0/21		0/0		0		69
192		0/21		0/0		0		70
194		0/21		0/0		0		61
196		0/21		0/0		0		77
198		0/21		0/0		0		57
200		0/21		0/0		0		55
202		0/21		0/0		0		62
204		0/21		0/0		0		75
206		0/21		0/0		0		0
208		0/21		0/0		0		0
