Got interface enp0s3
Got process 2253
processes: 2253
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		2253
0		0/0		0/0		0		55
2		12/1		12/1		0		52
4		7/1		7/0		0		53
6		13/2		13/1		0		45
8		13/3		13/1		0		50
10		7/3		7/0		0		47
12		16/4		16/1		0		45
14		11/5		11/1		0		51
16		14/6		14/1		0		58
18		12/7		12/1		0		56
20		9/7		9/0		0		56
22		9/8		9/1		0		38
24		9/8		9/0		0		35
26		18/9		18/1		0		69
28		17/10		17/1		0		65
30		9/10		9/0		0		65
32		8/10		8/0		0		31
34		6/10		6/0		0		33
36		20/12		20/2		0		68
38		16/13		16/1		0		61
40		0/13		0/0		0		48
42		16/14		16/1		0		63
44		7/14		7/0		0		66
46		11/15		11/1		0		36
48		20/17		20/2		0		67
50		8/17		8/0		0		67
52		6/17		6/0		0		57
54		21/19		21/2		0		72
56		9/19		9/0		0		66
58		7/19		7/0		0		61
60		9/19		9/0		0		66
62		18/20		18/1		0		64
64		10/21		10/1		0		42
66		4/21		4/0		0		32
68		22/23		22/2		0		59
70		0/23		0/0		0		37
72		20/24		20/1		0		55
74		7/24		7/0		0		46
76		12/25		12/1		0		62
78		14/26		14/1		0		52
80		9/27		9/1		0		56
82		17/28		17/1		0		55
84		14/29		14/1		0		33
86		8/29		8/0		0		48
88		18/30		18/1		0		67
90		8/30		8/0		0		56
92		14/31		14/1		0		54
94		16/32		16/1		0		50
96		8/33		8/1		0		50
98		12/34		12/1		0		55
100		14/35		14/1		0		35
102		7/36		7/1		0		37
104		13/37		13/1		0		58
106		8/37		8/0		0		40
108		15/38		15/1		0		56
110		13/39		13/1		0		45
112		6/39		6/0		0		47
114		18/40		18/1		0		42
116		9/40		9/0		0		52
118		8/40		8/0		0		39
120		19/41		19/1		0		63
122		6/41		6/0		0		53
124		11/42		11/1		0		52
126		11/43		11/1		0		48
128		12/44		12/1		0		58
130		13/45		13/1		0		48
132		8/46		8/1		0		48
134		13/47		13/1		0		43
136		13/48		13/1		0		45
138		8/49		8/1		0		53
140		15/50		15/1		0		45
142		9/51		9/1		0		50
144		15/52		15/1		0		54
146		14/53		14/1		0		42
148		8/54		8/1		0		44
150		13/55		13/1		0		45
152		7/55		7/0		0		47
154		13/56		13/1		0		48
156		13/57		13/1		0		42
158		8/58		8/1		0		44
