Got interface enp0s3
Got process 10598
processes: 10598
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		10598
0		0/0		0/0		0		93
2		12/1		12/1		0		95
4		6/2		6/1		0		90
6		14/3		14/1		0		92
8		15/4		15/1		0		90
10		7/5		7/1		0		90
12		12/6		12/1		0		90
14		12/7		12/1		0		92
16		9/8		9/1		0		95
18		13/9		13/1		0		92
20		8/10		8/1		0		92
22		13/11		13/1		0		91
24		13/12		13/1		0		88
26		9/13		9/1		0		92
28		14/14		14/1		0		87
30		8/15		8/1		0		89
32		13/16		13/1		0		95
34		14/17		14/1		0		88
36		8/18		8/1		0		91
38		16/19		16/1		0		92
40		9/20		9/1		0		91
42		13/21		13/1		0		95
44		14/22		14/1		0		91
46		8/23		8/1		0		90
48		15/24		15/1		0		93
50		16/25		16/1		0		92
52		9/26		9/1		0		92
54		16/27		16/1		0		92
56		9/28		9/1		0		92
58		17/30		17/2		0		93
60		16/31		16/1		0		93
62		9/32		9/1		0		92
64		12/33		12/1		0		91
66		6/33		6/0		0		96
68		11/34		11/1		0		96
70		11/35		11/1		0		93
72		6/35		6/0		0		93
74		11/36		11/1		0		95
76		11/37		11/1		0		95
78		6/38		6/1		0		96
80		13/39		13/1		0		96
82		7/39		7/0		0		93
84		13/40		13/1		0		92
86		13/41		13/1		0		96
88		8/41		8/0		0		91
90		15/43		15/2		0		93
92		8/43		8/0		0		93
94		16/45		16/2		0		93
96		15/46		15/1		0		96
98		9/47		9/1		0		91
100		18/49		18/2		0		90
102		15/50		15/1		0		92
104		8/50		8/0		0		93
106		12/51		12/1		0		92
108		7/51		7/0		0		93
110		14/52		14/1		0		96
112		14/53		14/1		0		97
114		9/54		9/1		0		90
116		15/55		15/1		0		95
118		8/55		8/0		0		92
120		12/56		12/1		0		98
122		12/57		12/1		0		97
124		7/57		7/0		0		93
126		13/58		13/1		0		95
128		7/58		7/0		0		97
130		11/59		11/1		0		95
132		11/60		11/1		0		95
134		7/60		7/0		0		91
136		13/61		13/1		0		93
138		14/62		14/1		0		92
140		8/63		8/1		0		97
142		14/64		14/1		0		95
144		8/65		8/1		0		95
146		17/67		17/2		0		95
148		15/68		15/1		0		97
150		9/69		9/1		0		90
152		12/70		12/1		0		96
154		6/70		6/0		0		92
156		12/71		12/1		0		94
158		13/72		13/1		0		91
160		7/72		7/0		0		95
162		14/73		14/1		0		95
164		13/74		13/1		0		93
166		13/75		13/1		0		95
168		12/76		12/1		0		91
170		7/76		7/0		0		91
172		13/77		13/1		0		93
174		13/78		13/1		0		92
176		8/78		8/0		0		96
178		13/79		13/1		0		96
180		7/80		7/1		0		97
182		12/81		12/1		0		92
184		13/82		13/1		0		76
186		6/82		6/0		0		93
188		13/83		13/1		0		88
190		7/83		7/0		0		93
192		12/84		12/1		0		73
194		10/85		10/1		0		93
196		6/85		6/0		0		78
198		11/86		11/1		0		85
200		11/87		11/1		0		96
202		6/87		6/0		0		96
204		13/88		13/1		0		95
206		8/89		8/1		0		96
208		14/90		14/1		0		88
210		14/91		14/1		0		97
212		8/91		8/0		0		93
214		14/92		14/1		0		91
216		8/92		8/0		0		88
218		12/93		12/1		0		85
220		12/94		12/1		0		76
222		7/94		7/0		0		63
224		12/95		12/1		0		90
226		12/96		12/1		0		65
228		7/96		7/0		0		80
230		15/97		15/1		0		98
232		8/98		8/1		0		95
234		14/99		14/1		0		93
236		16/100		16/1		0		93
238		8/101		8/1		0		93
240		16/102		16/1		0		90
242		8/103		8/1		0		95
244		14/104		14/1		0		95
246		14/105		14/1		0		96
248		8/105		8/0		0		93
250		15/106		15/1		0		95
252		7/107		7/1		0		93
254		12/108		12/1		0		93
256		13/109		13/1		0		88
258		7/110		7/1		0		95
260		12/111		12/1		0		90
262		14/112		14/1		0		93
264		7/112		7/0		0		93
266		13/113		13/1		0		91
268		7/114		7/1		0		91
270		12/115		12/1		0		93
272		15/116		15/1		0		93
274		8/117		8/1		0		92
276		13/118		13/1		0		95
278		7/118		7/0		0		95
280		14/119		14/1		0		88
282		13/120		13/1		0		93
284		6/120		6/0		0		90
286		11/121		11/1		0		91
288		11/122		11/1		0		86
290		10/123		10/1		0		92
292		14/124		14/1		0		92
294		9/125		9/1		0		88
296		14/126		14/1		0		90
298		12/127		12/1		0		90
300		8/128		8/1		0		92
302		16/129		16/1		0		93
304		9/130		9/1		0		93
306		16/132		16/2		0		89
308		15/133		15/1		0		96
310		8/134		8/1		0		93
312		15/135		15/1		0		92
314		9/136		9/1		0		95
316		17/138		17/2		0		96
318		16/139		16/1		0		93
320		7/139		7/0		0		91
322		12/140		12/1		0		95
324		13/141		13/1		0		96
326		7/141		7/0		0		92
328		14/142		14/1		0		90
330		8/143		8/1		0		95
332		14/144		14/1		0		95
334		12/145		12/1		0		93
336		7/145		7/0		0		95
338		15/146		15/1		0		91
340		11/147		11/1		0		93
342		18/149		18/2		0		93
344		18/151		18/2		0		96
346		11/152		11/1		0		84
348		19/154		19/2		0		95
350		14/155		14/1		0		93
352		7/155		7/0		0		95
354		12/156		12/1		0		96
356		8/157		8/1		0		96
358		14/158		14/1		0		93
360		14/159		14/1		0		93
362		6/159		6/0		0		93
364		10/160		10/1		0		93
366		6/160		6/0		0		93
368		15/161		15/1		0		92
370		14/162		14/1		0		95
372		8/162		8/0		0		92
374		13/163		13/1		0		88
376		7/164		7/1		0		97
378		12/165		12/1		0		92
380		11/166		11/1		0		96
382		7/166		7/0		0		95
384		12/167		12/1		0		91
386		13/168		13/1		0		93
388		9/169		9/1		0		92
390		15/170		15/1		0		88
392		9/171		9/1		0		93
394		13/172		13/1		0		91
396		13/173		13/1		0		92
398		9/174		9/1		0		93
400		15/175		15/1		0		92
402		9/176		9/1		0		90
404		12/177		12/1		0		91
406		10/178		10/1		0		91
408		11/179		11/1		0		100
410		11/180		11/1		0		93
412		11/181		11/1		0		100
414		5/181		5/0		0		89
416		10/182		10/1		0		85
418		12/183		12/1		0		100
420		12/184		12/1		0		97
422		7/184		7/0		0		91
424		9/184		9/0		0		98
426		10/185		10/1		0		90
428		4/185		4/0		0		93
430		9/185		9/0		0		86
432		21/186		21/1		0		85
434		11/187		11/1		0		91
436		15/188		15/1		0		91
438		13/189		13/1		0		91
440		10/190		10/1		0		97
442		10/191		10/1		0		97
444		2/191		2/0		0		84
446		9/191		9/0		0		88
448		16/192		16/1		0		85
450		9/192		9/0		0		97
452		9/192		9/0		0		87
454		10/193		10/1		0		93
456		11/194		11/1		0		88
458		15/195		15/1		0		93
460		7/195		7/0		0		95
462		12/196		12/1		0		97
464		8/196		8/0		0		96
466		17/197		17/1		0		93
468		10/198		10/1		0		95
470		7/198		7/0		0		92
472		11/199		11/1		0		92
474		6/199		6/0		0		88
476		12/200		12/1		0		91
478		11/201		11/1		0		91
480		6/201		6/0		0		87
482		14/202		14/1		0		92
484		15/203		15/1		0		92
486		8/204		8/1		0		95
488		15/205		15/1		0		92
490		8/206		8/1		0		93
492		13/207		13/1		0		92
494		13/208		13/1		0		93
496		7/208		7/0		0		90
498		13/209		13/1		0		93
500		8/210		8/1		0		87
502		14/211		14/1		0		95
504		14/212		14/1		0		93
506		7/212		7/0		0		91
508		11/213		11/1		0		95
510		6/213		6/0		0		93
512		9/214		9/1		0		95
514		10/215		10/1		0		95
516		5/215		5/0		0		90
518		9/216		9/1		0		85
520		10/217		10/1		0		96
522		6/217		6/0		0		96
524		10/218		10/1		0		95
526		5/218		5/0		0		96
528		9/219		9/1		0		95
530		9/220		9/1		0		95
532		5/220		5/0		0		95
534		9/221		9/1		0		93
536		5/221		5/0		0		93
538		10/222		10/1		0		92
540		10/223		10/1		0		91
542		6/223		6/0		0		95
544		10/224		10/1		0		96
546		10/225		10/1		0		85
548		6/225		6/0		0		91
550		11/226		11/1		0		96
552		5/226		5/0		0		96
554		11/227		11/1		0		91
556		12/228		12/1		0		95
558		9/229		9/1		0		96
560		16/231		16/2		0		92
562		10/232		10/1		0		92
564		15/233		15/1		0		95
566		14/234		14/1		0		95
568		6/234		6/0		0		90
570		10/235		10/1		0		92
572		9/236		9/1		0		62
574		5/236		5/0		0		92
576		9/237		9/1		0		78
578		5/237		5/0		0		48
580		9/238		9/1		0		47
582		12/239		12/1		0		95
584		7/239		7/0		0		93
586		12/240		12/1		0		92
588		7/240		7/0		0		68
590		13/241		13/1		0		93
592		12/242		12/1		0		22
594		7/242		7/0		0		95
596		12/243		12/1		0		83
598		13/244		13/1		0		93
600		7/244		7/0		0		42
602		13/245		13/1		0		95
604		7/245		7/0		0		81
606		13/246		13/1		0		92
608		14/247		14/1		0		95
610		8/248		8/1		0		93
612		14/249		14/1		0		93
614		13/250		13/1		0		36
616		12/251		12/1		0		95
618		15/252		15/1		0		96
620		8/252		8/0		0		95
622		14/253		14/1		0		93
624		14/255		14/2		0		95
626		7/255		7/0		0		97
628		11/256		11/1		0		95
630		6/256		6/0		0		92
632		10/257		10/1		0		91
634		11/258		11/1		0		41
636		6/258		6/0		0		97
638		10/259		10/1		0		88
640		7/260		7/1		0		93
642		17/261		17/1		0		92
644		17/263		17/2		0		96
646		9/264		9/1		0		92
648		13/265		13/1		0		90
650		7/266		7/1		0		92
652		11/267		11/1		0		97
654		10/268		10/1		0		93
656		6/268		6/0		0		90
658		11/269		11/1		0		91
660		10/270		10/1		0		96
662		6/270		6/0		0		93
664		10/271		10/1		0		93
666		5/271		5/0		0		2
668		11/272		11/1		0		92
670		11/273		11/1		0		8
672		3/273		3/0		0		46
674		14/274		14/1		0		95
676		6/274		6/0		0		96
678		9/275		9/1		0		47
680		9/276		9/1		0		96
682		6/276		6/0		0		45
684		10/277		10/1		0		82
686		9/278		9/1		0		63
688		5/278		5/0		0		92
690		9/279		9/1		0		91
692		5/279		5/0		0		31
694		8/280		8/1		0		72
696		10/281		10/1		0		95
698		6/282		6/1		0		93
700		11/283		11/1		0		95
702		7/283		7/0		0		93
704		13/284		13/1		0		95
706		14/285		14/1		0		95
708		10/286		10/1		0		87
710		19/288		19/2		0		88
712		20/290		20/2		0		93
714		11/291		11/1		0		91
716		17/292		17/1		0		95
718		8/292		8/0		0		93
720		13/293		13/1		0		96
722		13/294		13/1		0		98
