Got interface enp0s3
Got process 10583
processes: 10583
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		10583
0		0/0		0/0		0		82
2		0/0		0/0		0		70
4		0/0		0/0		0		77
6		0/0		0/0		0		55
8		0/0		0/0		0		45
10		0/0		0/0		0		73
12		0/0		0/0		0		50
14		0/0		0/0		0		40
16		0/0		0/0		0		45
18		0/0		0/0		0		59
20		0/0		0/0		0		61
22		0/0		0/0		0		79
24		0/0		0/0		0		51
26		0/0		0/0		0		81
28		0/0		0/0		0		82
30		0/0		0/0		0		87
32		0/0		0/0		0		81
34		0/0		0/0		0		80
36		0/0		0/0		0		75
38		0/0		0/0		0		55
40		0/0		0/0		0		59
42		0/0		0/0		0		62
44		0/0		0/0		0		54
46		0/0		0/0		0		76
48		0/0		0/0		0		78
50		24/2		24/2		0		78
52		0/2		0/0		0		82
54		0/2		0/0		0		63
56		0/2		0/0		0		76
58		0/2		0/0		0		84
60		0/2		0/0		0		80
62		0/2		0/0		0		71
64		0/2		0/0		0		52
66		0/2		0/0		0		87
68		0/2		0/0		0		85
70		0/2		0/0		0		91
72		0/2		0/0		0		96
74		0/2		0/0		0		69
76		0/2		0/0		0		75
78		0/2		0/0		0		73
80		0/2		0/0		0		55
82		0/2		0/0		0		66
84		0/2		0/0		0		68
86		0/2		0/0		0		71
88		0/2		0/0		0		75
90		0/2		0/0		0		70
92		0/2		0/0		0		72
94		0/2		0/0		0		82
96		0/2		0/0		0		95
98		0/2		0/0		0		81
100		0/2		0/0		0		66
102		0/2		0/0		0		80
104		0/2		0/0		0		65
106		0/2		0/0		0		84
108		0/2		0/0		0		52
110		0/2		0/0		0		72
112		0/2		0/0		0		67
114		0/2		0/0		0		64
116		0/2		0/0		0		75
118		0/2		0/0		0		90
120		0/2		0/0		0		66
122		0/2		0/0		0		78
124		0/2		0/0		0		63
126		0/2		0/0		0		72
128		0/2		0/0		0		78
130		0/2		0/0		0		86
132		0/2		0/0		0		81
134		0/2		0/0		0		81
136		0/2		0/0		0		75
138		0/2		0/0		0		75
140		0/2		0/0		0		75
142		0/2		0/0		0		75
144		0/2		0/0		0		87
146		0/2		0/0		0		77
148		0/2		0/0		0		43
150		0/2		0/0		0		78
152		0/2		0/0		0		82
154		0/2		0/0		0		70
156		0/2		0/0		0		0
158		0/2		0/0		0		0
160		0/2		0/0		0		0
162		0/2		0/0		0		0
164		0/2		0/0		0		0
166		0/2		0/0		0		0
168		0/2		0/0		0		0
170		0/2		0/0		0		0
172		0/2		0/0		0		0
174		0/2		0/0		0		0
