Got interface enp0s3
Got process 11452
processes: 11452
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		11452
0		0/0		0/0		0		96
2		8/0		8/0		0		100
4		7/0		7/0		0		98
6		0/0		0/0		0		60
8		37/3		37/3		0		8
10		5/3		5/0		0		81
12		2/3		2/0		0		95
14		15/4		15/1		0		82
16		1/4		1/0		0		100
18		0/4		0/0		0		96
20		17/5		17/1		0		80
22		8/6		8/1		0		98
24		0/6		0/0		0		88
26		0/6		0/0		0		97
28		12/7		12/1		0		100
30		0/7		0/0		0		97
32		0/7		0/0		0		98
34		3/7		3/0		0		63
36		11/8		11/1		0		97
38		0/8		0/0		0		100
40		0/8		0/0		0		57
42		14/9		14/1		0		100
44		0/9		0/0		0		95
46		4/9		4/0		0		70
48		10/10		10/1		0		100
50		0/10		0/0		0		100
52		12/11		12/1		0		96
54		0/11		0/0		0		100
56		0/11		0/0		0		100
58		17/12		17/1		0		80
60		7/12		7/0		0		98
62		0/12		0/0		0		98
64		0/12		0/0		0		100
66		14/13		14/1		0		96
68		0/13		0/0		0		100
70		13/14		13/1		0		100
72		0/14		0/0		0		100
74		0/14		0/0		0		98
76		11/15		11/1		0		96
78		0/15		0/0		0		100
80		0/15		0/0		0		10
82		2/15		2/0		0		53
84		14/16		14/1		0		98
86		0/16		0/0		0		98
88		0/16		0/0		0		100
90		13/17		13/1		0		96
92		0/17		0/0		0		95
94		0/17		0/0		0		100
96		12/18		12/1		0		95
98		0/18		0/0		0		98
100		0/18		0/0		0		98
102		14/19		14/1		0		100
104		0/19		0/0		0		97
106		0/19		0/0		0		100
108		0/19		0/0		0		92
110		0/19		0/0		0		97
112		3/19		3/0		0		96
114		0/19		0/0		0		96
116		0/19		0/0		0		97
118		0/19		0/0		0		97
120		0/19		0/0		0		97
122		0/19		0/0		0		96
124		0/19		0/0		0		100
126		0/19		0/0		0		95
128		0/19		0/0		0		100
130		0/19		0/0		0		92
132		0/19		0/0		0		97
134		0/19		0/0		0		95
136		0/19		0/0		0		98
138		0/19		0/0		0		97
140		0/19		0/0		0		98
142		0/18		0/0		0		100
144		0/18		0/0		0		91
146		0/18		0/0		0		95
148		0/18		0/0		0		92
150		0/18		0/0		0		26
