Got interface enp0s3
Got process 12325
processes: 12325
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		12325
0		0/0		0/0		0		92
2		9/1		9/1		0		77
4		5/1		5/0		0		3
6		10/2		10/1		0		90
8		5/2		5/0		0		81
10		11/3		11/1		0		79
12		11/4		11/1		0		75
14		3/4		3/0		0		100
16		0/4		0/0		0		100
18		2/4		2/0		0		61
20		12/5		12/1		0		96
22		0/5		0/0		0		100
24		0/5		0/0		0		96
26		12/6		12/1		0		100
28		0/6		0/0		0		100
30		0/6		0/0		0		94
32		12/7		12/1		0		63
34		11/8		11/1		0		97
36		0/8		0/0		0		98
38		0/8		0/0		0		100
40		14/9		14/1		0		100
42		0/9		0/0		0		88
44		0/9		0/0		0		100
46		0/9		0/0		0		100
48		12/10		12/1		0		96
50		0/10		0/0		0		100
52		0/10		0/0		0		85
54		10/11		10/1		0		100
56		0/11		0/0		0		98
58		0/11		0/0		0		100
60		18/12		18/1		0		92
62		0/12		0/0		0		17
64		0/12		0/0		0		96
66		13/13		13/1		0		88
68		0/13		0/0		0		96
70		0/13		0/0		0		6
72		13/14		13/1		0		94
74		0/14		0/0		0		100
76		0/14		0/0		0		100
78		13/15		13/1		0		100
80		0/15		0/0		0		95
82		0/15		0/0		0		86
84		14/16		14/1		0		97
86		0/16		0/0		0		100
88		0/16		0/0		0		97
90		0/16		0/0		0		95
92		13/17		13/1		0		94
94		0/17		0/0		0		100
96		0/17		0/0		0		100
98		11/18		11/1		0		100
100		0/18		0/0		0		96
102		0/18		0/0		0		76
104		0/18		0/0		0		100
106		0/18		0/0		0		97
108		0/18		0/0		0		90
110		0/18		0/0		0		94
112		0/18		0/0		0		85
114		0/18		0/0		0		95
116		0/18		0/0		0		100
118		0/18		0/0		0		91
120		0/18		0/0		0		96
122		0/18		0/0		0		100
124		0/18		0/0		0		100
126		0/18		0/0		0		96
128		0/18		0/0		0		89
130		0/18		0/0		0		92
132		0/18		0/0		0		100
134		0/18		0/0		0		91
136		0/18		0/0		0		95
138		0/18		0/0		0		92
140		0/18		0/0		0		26
142		0/18		0/0		0		0
144		0/18		0/0		0		0
146		0/18		0/0		0		0
148		0/18		0/0		0		0
