Got interface enp0s3
Got process 4784
processes: 4784
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		4784
0		0/0		0/0		0		91
2		0/0		0/0		0		98
4		5/0		5/0		0		73
6		7/0		7/0		0		89
8		14/1		14/1		0		95
10		0/1		0/0		0		93
12		13/2		13/1		0		98
14		0/2		0/0		0		96
16		13/3		13/1		0		94
18		4/3		4/0		0		63
20		10/3		10/0		0		89
22		10/4		10/1		0		98
24		0/4		0/0		0		98
26		17/5		17/1		0		92
28		0/5		0/0		0		100
30		13/6		13/1		0		95
32		12/7		12/1		0		95
34		1/7		1/0		0		95
36		14/8		14/1		0		96
38		0/8		0/0		0		100
40		5/8		5/0		0		66
42		8/8		8/0		0		88
44		0/8		0/0		0		70
46		12/9		12/1		0		98
48		0/9		0/0		0		98
50		14/10		14/1		0		88
52		5/10		5/0		0		66
54		9/10		9/0		0		92
56		10/11		10/1		0		96
58		2/11		2/0		0		98
60		13/12		13/1		0		96
62		0/12		0/0		0		97
64		14/13		14/1		0		94
66		0/13		0/0		0		65
68		14/14		14/1		0		96
70		4/14		4/0		0		71
72		9/14		9/0		0		96
74		1/14		1/0		0		75
76		13/15		13/1		0		98
78		0/15		0/0		0		98
80		14/16		14/1		0		92
82		0/16		0/0		0		97
84		13/17		13/1		0		91
86		13/18		13/1		0		98
88		0/18		0/0		0		98
90		5/18		5/0		0		62
92		8/18		8/0		0		95
94		0/18		0/0		0		60
96		13/19		13/1		0		100
98		0/19		0/0		0		53
100		11/20		11/1		0		100
102		0/20		0/0		0		63
104		16/21		16/1		0		97
106		14/22		14/1		0		95
108		0/22		0/0		0		100
110		13/23		13/1		0		96
112		0/23		0/0		0		97
114		13/24		13/1		0		100
116		0/24		0/0		0		100
118		14/25		14/1		0		89
120		0/25		0/0		0		92
122		7/25		7/0		0		94
124		6/25		6/0		0		98
126		0/25		0/0		0		98
128		13/26		13/1		0		93
130		5/26		5/0		0		67
132		8/27		8/1		0		100
134		10/27		10/0		0		97
136		3/27		3/0		0		100
138		0/27		0/0		0		73
140		14/28		14/1		0		95
142		0/28		0/0		0		67
144		13/29		13/1		0		95
146		0/29		0/0		0		70
148		10/30		10/1		0		95
150		0/30		0/0		0		96
152		12/31		12/1		0		95
154		0/31		0/0		0		96
156		0/31		0/0		0		98
158		18/32		18/1		0		95
160		0/32		0/0		0		94
162		5/32		5/0		0		67
164		8/32		8/0		0		100
166		0/32		0/0		0		97
168		13/33		13/1		0		95
170		0/33		0/0		0		98
172		14/34		14/1		0		95
174		0/34		0/0		0		97
176		6/34		6/0		0		96
178		2/34		2/0		0		94
180		0/34		0/0		0		98
182		18/35		18/1		0		100
184		6/35		6/0		0		92
186		5/35		5/0		0		100
188		0/35		0/0		0		100
190		15/36		15/1		0		62
192		20/37		20/1		0		97
194		0/37		0/0		0		96
196		10/37		10/0		0		98
198		0/37		0/0		0		97
200		0/37		0/0		0		96
202		17/38		17/1		0		90
204		0/38		0/0		0		97
206		12/39		12/1		0		97
208		0/39		0/0		0		91
210		14/40		14/1		0		98
212		0/40		0/0		0		98
214		5/40		5/0		0		68
216		8/40		8/0		0		95
218		13/41		13/1		0		98
220		0/41		0/0		0		98
222		0/41		0/0		0		97
224		12/42		12/1		0		96
226		0/42		0/0		0		98
228		15/43		15/1		0		97
230		0/43		0/0		0		96
232		13/44		13/1		0		97
234		0/44		0/0		0		92
236		14/45		14/1		0		98
238		0/45		0/0		0		70
240		13/46		13/1		0		100
242		0/46		0/0		0		97
244		10/47		10/1		0		100
246		0/47		0/0		0		96
248		17/48		17/1		0		98
250		0/48		0/0		0		100
252		14/49		14/1		0		98
254		0/49		0/0		0		100
256		14/50		14/1		0		98
258		0/50		0/0		0		53
260		13/51		13/1		0		97
262		0/51		0/0		0		98
264		13/52		13/1		0		97
266		0/52		0/0		0		95
268		10/53		10/1		0		100
270		0/53		0/0		0		97
272		18/54		18/1		0		91
274		0/54		0/0		0		100
276		13/55		13/1		0		100
278		11/56		11/1		0		98
280		2/56		2/0		0		100
282		11/57		11/1		0		95
284		3/57		3/0		0		100
286		3/57		3/0		0		64
288		9/57		9/0		0		98
290		0/57		0/0		0		100
292		11/58		11/1		0		98
294		0/58		0/0		0		95
296		18/59		18/1		0		98
298		0/59		0/0		0		96
300		8/59		8/0		0		97
302		2/59		2/0		0		98
304		0/59		0/0		0		86
306		16/60		16/1		0		98
308		0/60		0/0		0		94
310		13/61		13/1		0		94
312		5/61		5/0		0		75
314		6/61		6/0		0		98
316		16/62		16/1		0		100
318		0/62		0/0		0		94
320		14/63		14/1		0		96
322		3/63		3/0		0		65
324		9/63		9/0		0		98
326		2/63		2/0		0		61
328		11/64		11/1		0		96
330		1/64		1/0		0		65
332		11/65		11/1		0		100
334		0/65		0/0		0		66
336		11/66		11/1		0		98
338		0/66		0/0		0		83
340		17/67		17/1		0		96
342		0/67		0/0		0		97
344		0/67		0/0		0		60
346		11/68		11/1		0		96
348		15/69		15/1		0		95
350		0/69		0/0		0		97
352		7/69		7/0		0		84
354		6/69		6/0		0		98
356		6/69		6/0		0		81
358		7/69		7/0		0		97
360		13/70		13/1		0		97
362		0/70		0/0		0		98
364		14/71		14/1		0		100
366		0/71		0/0		0		53
368		14/72		14/1		0		97
370		10/73		10/1		0		100
372		0/73		0/0		0		97
374		6/73		6/0		0		97
376		6/73		6/0		0		100
378		0/73		0/0		0		92
380		10/73		10/0		0		97
382		0/73		0/0		0		92
384		11/74		11/1		0		96
386		0/74		0/0		0		96
388		18/76		18/2		0		95
390		0/76		0/0		0		97
392		11/77		11/1		0		88
394		5/77		5/0		0		96
396		0/77		0/0		0		96
398		12/78		12/1		0		98
400		0/78		0/0		0		95
402		15/79		15/1		0		95
404		5/79		5/0		0		68
406		8/79		8/0		0		95
408		0/79		0/0		0		65
410		10/80		10/1		0		96
412		0/80		0/0		0		63
414		16/81		16/1		0		100
416		1/81		1/0		0		68
418		12/82		12/1		0		92
420		2/82		2/0		0		70
422		11/83		11/1		0		98
424		0/83		0/0		0		63
426		14/84		14/1		0		100
428		7/84		7/0		0		78
430		6/84		6/0		0		97
432		0/84		0/0		0		100
434		0/84		0/0		0		99
436		13/85		13/1		0		100
438		0/85		0/0		0		75
440		14/86		14/1		0		90
442		5/86		5/0		0		71
444		8/86		8/0		0		100
446		9/87		9/1		0		94
448		3/87		3/0		0		96
450		14/88		14/1		0		97
452		0/88		0/0		0		95
454		4/88		4/0		0		88
456		6/88		6/0		0		94
458		12/89		12/1		0		100
460		0/89		0/0		0		100
462		18/90		18/1		0		97
464		0/90		0/0		0		97
466		14/91		14/1		0		98
468		0/91		0/0		0		100
470		14/92		14/1		0		96
472		0/92		0/0		0		96
474		5/92		5/0		0		90
476		6/92		6/0		0		95
478		11/93		11/1		0		95
480		4/93		4/0		0		100
482		11/94		11/1		0		97
484		1/94		1/0		0		96
486		0/94		0/0		0		97
488		13/95		13/1		0		100
490		0/95		0/0		0		100
492		13/96		13/1		0		98
494		0/96		0/0		0		100
496		14/97		14/1		0		96
498		0/97		0/0		0		100
500		14/98		14/1		0		97
502		0/98		0/0		0		98
504		13/99		13/1		0		94
506		0/99		0/0		0		98
508		5/99		5/0		0		67
510		8/99		8/0		0		97
512		0/99		0/0		0		62
514		14/100		14/1		0		95
516		13/101		13/1		0		100
518		0/101		0/0		0		96
520		13/102		13/1		0		97
522		0/102		0/0		0		97
524		5/102		5/0		0		76
526		8/102		8/0		0		98
528		0/102		0/0		0		95
530		14/103		14/1		0		100
532		0/103		0/0		0		100
534		13/104		13/1		0		96
536		9/104		9/0		0		85
538		4/104		4/0		0		92
540		0/104		0/0		0		95
542		7/104		7/0		0		94
544		3/104		3/0		0		97
546		17/105		17/1		0		93
548		0/105		0/0		0		100
550		13/106		13/1		0		96
552		0/106		0/0		0		94
554		9/106		9/0		0		96
556		4/106		4/0		0		98
558		0/106		0/0		0		93
560		14/107		14/1		0		90
562		0/107		0/0		0		94
564		10/107		10/0		0		98
566		0/107		0/0		0		97
568		0/107		0/0		0		70
570		16/108		16/1		0		90
572		0/108		0/0		0		92
574		14/109		14/1		0		94
576		0/109		0/0		0		100
578		13/110		13/1		0		100
580		4/110		4/0		0		63
582		8/110		8/0		0		96
584		11/111		11/1		0		96
586		3/111		3/0		0		92
588		5/111		5/0		0		80
590		8/111		8/0		0		97
592		13/112		13/1		0		92
594		0/112		0/0		0		100
596		0/112		0/0		0		97
598		13/113		13/1		0		100
600		13/114		13/1		0		97
602		1/114		1/0		0		94
604		13/115		13/1		0		97
606		0/115		0/0		0		100
608		13/116		13/1		0		89
610		0/116		0/0		0		100
612		14/117		14/1		0		100
614		0/117		0/0		0		96
616		10/117		10/0		0		95
618		2/117		2/0		0		100
620		0/117		0/0		0		97
622		14/118		14/1		0		98
624		13/119		13/1		0		97
626		0/119		0/0		0		100
628		0/119		0/0		0		67
630		14/120		14/1		0		90
632		0/120		0/0		0		62
634		13/121		13/1		0		92
636		13/122		13/1		0		97
638		0/122		0/0		0		98
640		13/123		13/1		0		95
642		1/123		1/0		0		100
644		13/124		13/1		0		100
646		0/124		0/0		0		97
648		0/124		0/0		0		73
650		13/125		13/1		0		98
652		0/125		0/0		0		62
654		13/126		13/1		0		100
656		9/127		9/1		0		100
658		4/127		4/0		0		100
660		0/127		0/0		0		89
662		14/128		14/1		0		100
664		0/128		0/0		0		100
666		13/129		13/1		0		96
668		0/129		0/0		0		68
670		13/130		13/1		0		94
672		0/130		0/0		0		94
674		11/131		11/1		0		97
676		2/131		2/0		0		97
