Got interface enp0s3
Got process 17077
processes: 17077
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		17077
0		0/0		0/0		0		90
2		9/1		9/1		0		96
4		8/1		8/0		0		100
6		8/1		8/0		0		91
8		0/1		0/0		0		94
10		9/1		9/0		0		97
12		9/2		9/1		0		85
14		0/2		0/0		0		57
16		0/2		0/0		0		87
18		5/2		5/0		0		100
20		12/3		12/1		0		100
22		0/3		0/0		0		98
24		9/3		9/0		0		100
26		0/3		0/0		0		98
28		5/3		5/0		0		100
30		13/4		13/1		0		97
32		0/4		0/0		0		98
34		2/4		2/0		0		7
36		5/4		5/0		0		98
38		10/5		10/1		0		76
40		0/5		0/0		0		98
42		5/5		5/0		0		76
44		0/5		0/0		0		86
46		13/6		13/1		0		100
48		0/6		0/0		0		90
50		8/6		8/0		0		100
52		8/6		8/0		0		98
54		5/6		5/0		0		95
56		13/7		13/1		0		92
58		0/7		0/0		0		100
60		9/7		9/0		0		100
62		0/7		0/0		0		95
64		9/8		9/1		0		98
66		0/8		0/0		0		100
68		9/9		9/1		0		95
70		0/9		0/0		0		98
72		9/9		9/0		0		98
74		0/9		0/0		0		100
76		5/9		5/0		0		85
78		0/9		0/0		0		100
80		11/10		11/1		0		97
82		0/10		0/0		0		100
84		9/10		9/0		0		96
86		9/11		9/1		0		100
88		0/11		0/0		0		95
90		0/11		0/0		0		81
92		8/11		8/0		0		97
94		6/11		6/0		0		95
96		0/11		0/0		0		100
98		11/12		11/1		0		100
100		0/12		0/0		0		97
102		0/12		0/0		0		73
104		5/12		5/0		0		100
106		3/12		3/0		0		89
108		9/12		9/0		0		100
110		0/12		0/0		0		97
112		8/13		8/1		0		96
114		9/13		9/0		0		98
116		0/13		0/0		0		98
118		8/13		8/0		0		98
120		0/13		0/0		0		100
122		0/13		0/0		0		91
124		5/13		5/0		0		100
126		11/14		11/1		0		98
128		6/14		6/0		0		100
130		0/14		0/0		0		72
132		10/14		10/0		0		43
134		0/14		0/0		0		82
136		0/14		0/0		0		100
138		10/15		10/1		0		98
140		5/15		5/0		0		98
142		0/15		0/0		0		57
144		11/16		11/1		0		100
146		0/16		0/0		0		98
148		4/16		4/0		0		98
150		4/16		4/0		0		98
152		0/16		0/0		0		100
154		5/16		5/0		0		100
156		10/17		10/1		0		100
158		0/17		0/0		0		82
160		8/18		8/1		0		98
162		0/18		0/0		0		71
164		11/19		11/1		0		96
166		5/19		5/0		0		100
168		0/19		0/0		0		77
170		12/20		12/1		0		73
172		0/20		0/0		0		100
174		6/20		6/0		0		92
176		1/20		1/0		0		76
178		0/20		0/0		0		100
180		5/20		5/0		0		100
182		0/20		0/0		0		100
184		10/20		10/0		0		95
186		0/20		0/0		0		98
188		10/21		10/1		0		100
190		0/21		0/0		0		83
192		5/21		5/0		0		100
194		0/21		0/0		0		90
196		8/22		8/1		0		100
198		13/23		13/1		0		82
200		0/23		0/0		0		100
202		8/23		8/0		0		73
204		2/23		2/0		0		98
206		5/23		5/0		0		98
208		9/24		9/1		0		98
210		0/24		0/0		0		98
212		5/24		5/0		0		88
214		12/25		12/1		0		100
216		0/25		0/0		0		97
218		6/25		6/0		0		98
220		0/25		0/0		0		98
222		11/26		11/1		0		100
224		0/26		0/0		0		100
226		0/26		0/0		0		95
228		6/26		6/0		0		98
230		10/27		10/1		0		97
232		0/27		0/0		0		100
234		5/27		5/0		0		97
236		0/27		0/0		0		80
238		0/27		0/0		0		98
240		12/28		12/1		0		97
242		0/28		0/0		0		100
244		7/28		7/0		0		98
246		0/28		0/0		0		88
248		5/28		5/0		0		100
250		2/28		2/0		0		100
252		0/28		0/0		0		98
254		10/29		10/1		0		73
256		6/29		6/0		0		100
258		0/29		0/0		0		100
260		6/29		6/0		0		36
262		5/29		5/0		0		98
264		8/29		8/0		0		97
266		0/29		0/0		0		97
268		7/29		7/0		0		97
270		0/29		0/0		0		100
272		9/29		9/0		0		100
274		0/29		0/0		0		80
276		7/29		7/0		0		98
278		0/29		0/0		0		100
280		11/30		11/1		0		97
282		4/30		4/0		0		98
284		1/30		1/0		0		96
286		0/30		0/0		0		92
288		10/31		10/1		0		98
290		0/31		0/0		0		78
292		5/31		5/0		0		98
294		0/31		0/0		0		100
296		10/32		10/1		0		86
298		4/32		4/0		0		95
300		7/32		7/0		0		75
302		5/32		5/0		0		100
304		0/32		0/0		0		100
306		13/33		13/1		0		85
308		0/33		0/0		0		100
310		0/33		0/0		0		86
312		9/34		9/1		0		91
314		9/34		9/0		0		98
316		0/34		0/0		0		75
318		9/35		9/1		0		100
320		0/35		0/0		0		100
322		9/36		9/1		0		100
324		8/36		8/0		0		90
