Got process 7616
Got interface enp0s3
processes: 7616
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		7616
0		0/2		0/2		0		12
2		27/458		27/456		0		73
4		5/458		5/0		0		67
6		12/459		12/1		0		72
8		13/685		13/226		0		67
10		21/901		21/216		0		66
12		14/1122		14/221		0		73
14		11/1123		11/1		0		75
16		5/1123		5/0		0		66
18		28/1571		28/448		0		71
20		14/1677		14/106		0		72
22		11/1678		11/1		0		71
24		10/1806		10/128		0		50
26		12/2110		12/304		0		12
28		14/2203		14/93		0		72
30		6/2203		6/0		0		76
32		16/2373		16/170		0		70
34		29/2788		29/415		0		50
36		14/3023		14/235		0		52
38		27/3403		27/380		0		67
40		9/3404		9/1		0		57
42		5/3404		5/0		0		7
44		21/3635		21/231		0		55
46		10/3886		10/251		0		47
48		5/3886		5/0		0		67
50		13/3887		13/1		0		58
52		19/4249		19/362		0		71
54		12/4250		12/1		0		68
56		5/4250		5/0		0		41
58		11/4251		11/1		0		72
60		5/4251		5/0		0		66
62		4/4361		4/110		0		45
64		33/4927		33/566		0		60
66		22/5235		22/308		0		60
68		16/5392		16/157		0		58
70		5/5392		5/0		0		65
72		10/5410		10/18		0		55
74		22/5960		22/550		0		45
76		11/5961		11/1		0		71
78		5/5961		5/0		0		9
80		20/6162		20/201		0		52
82		19/6414		19/252		0		67
84		8/6414		8/0		0		59
86		10/6415		10/1		0		60
88		5/6415		5/0		0		8
90		7/6415		7/0		0		66
92		6/6420		6/5		0		56
94		30/6958		30/538		0		13
96		25/7441		25/483		0		75
98		10/7442		10/1		0		68
100		6/7442		6/0		0		76
102		2/7449		2/7		0		45
104		42/8006		42/557		0		41
106		8/8092		8/86		0		66
108		0/8092		0/0		0		62
110		18/8236		18/144		0		55
112		20/8530		20/294		0		68
114		5/8534		5/4		0		63
116		14/8535		14/1		0		57
118		16/8746		16/211		0		62
120		21/9062		21/316		0		65
122		5/9062		5/0		0		75
124		6/9062		6/0		0		62
126		24/9371		24/309		0		72
128		12/9372		12/1		0		73
130		5/9372		5/0		0		60
132		21/9592		21/220		0		11
134		18/9819		18/227		0		73
136		5/9819		5/0		0		35
138		10/9824		10/5		0		60
140		26/10197		26/373		0		66
142		4/10197		4/0		0		66
144		13/10198		13/1		0		71
146		0/10198		0/0		0		8
148		9/10198		9/0		0		68
150		9/10308		9/110		0		56
152		30/10911		30/603		0		62
154		17/11224		17/313		0		71
156		6/11224		6/0		0		48
158		10/11225		10/1		0		71
160		15/11387		15/162		0		67
162		30/11894		30/507		0		63
164		2/11955		2/61		0		72
166		5/11955		5/0		0		48
168		12/11956		12/1		0		63
170		28/12457		28/501		0		63
172		16/12743		16/286		0		70
174		10/12744		10/1		0		73
176		11/12745		11/1		0		68
178		15/12956		15/211		0		65
180		31/13449		31/493		0		11
182		4/13553		4/104		0		67
184		7/13553		7/0		0		73
186		15/13676		15/123		0		40
188		29/14235		29/559		0		62
190		14/14536		14/301		0		11
192		28/15105		28/569		0		67
194		10/15109		10/4		0		72
196		4/15109		4/0		0		63
198		17/15133		17/24		0		63
200		12/15446		12/313		0		58
202		25/15851		25/405		0		50
204		16/16037		16/186		0		55
206		29/16561		29/524		0		48
208		21/16707		21/146		0		23
210		0/16707		0/0		0		57
212		10/16707		10/0		0		73
214		10/16708		10/1		0		72
216		5/16708		5/0		0		70
218		13/16709		13/1		0		43
220		6/16709		6/0		0		75
222		12/16710		12/1		0		59
224		0/16710		0/0		0		63
226		14/16711		14/1		0		66
228		18/16712		18/1		0		50
230		19/16713		19/1		0		71
232		7/16713		7/0		0		51
234		23/16715		23/2		0		52
236		16/16716		16/1		0		61
238		19/16717		19/1		0		66
240		7/16717		7/0		0		70
242		16/16718		16/1		0		61
244		41/17157		41/439		0		55
246		13/17158		13/1		0		60
248		13/17159		13/1		0		38
250		12/17160		12/1		0		16
252		7/17161		7/1		0		58
254		13/17162		13/1		0		65
256		6/17162		6/0		0		67
258		11/17163		11/1		0		57
260		20/17389		20/226		0		12
262		15/17587		15/198		0		63
264		13/17588		13/1		0		58
266		16/17671		16/83		0		42
268		22/18032		22/361		0		10
270		13/18066		13/34		0		57
272		6/18066		6/0		0		70
274		21/18308		21/242		0		47
276		35/18915		35/607		0		53
278		22/19335		22/420		0		55
280		31/19862		31/527		0		63
282		11/19863		11/1		0		46
284		6/19863		6/0		0		47
286		24/20193		24/330		0		66
288		10/20270		10/77		0		62
290		11/20271		11/1		0		32
292		21/20549		21/278		0		22
294		12/20699		12/150		0		19
296		11/20700		11/1		0		66
298		19/20918		19/218		0		36
300		25/21391		25/473		0		41
302		21/21675		21/284		0		18
304		6/21675		6/0		0		27
306		10/21676		10/1		0		32
308		25/22059		25/383		0		38
310		5/22059		5/0		0		27
312		11/22060		11/1		0		54
314		25/22405		25/345		0		46
316		7/22406		7/1		0		50
318		13/22409		13/3		0		37
320		25/22849		25/440		0		31
322		17/22913		17/64		0		47
324		16/22914		16/1		0		20
326		8/22915		8/1		0		7
328		14/22916		14/1		0		41
330		19/23074		19/158		0		58
332		27/23561		27/487		0		23
334		32/24093		32/532		0		28
336		6/24093		6/0		0		27
338		11/24094		11/1		0		52
340		25/24443		25/349		0		53
342		6/24443		6/0		0		35
344		11/24444		11/1		0		48
346		26/24795		26/351		0		51
348		6/24796		6/1		0		36
350		11/24797		11/1		0		31
352		15/25025		15/228		0		30
354		21/25239		21/214		0		45
356		13/25240		13/1		0		32
358		12/25376		12/136		0		25
360		39/26019		39/643		0		33
362		14/26020		14/1		0		33
364		7/26021		7/1		0		43
366		32/26493		32/472		0		37
368		8/26544		8/51		0		53
370		11/26545		11/1		0		38
372		21/26808		21/263		0		27
374		19/27148		19/340		0		18
376		10/27149		10/1		0		25
378		11/27150		11/1		0		36
380		21/27536		21/386		0		59
382		12/27537		12/1		0		26
384		6/27538		6/1		0		22
386		11/27539		11/1		0		12
388		12/27540		12/1		0		2
390		7/27541		7/1		0		16
392		43/28312		43/771		0		33
394		27/28717		27/405		0		42
396		5/28717		5/0		0		18
398		9/28718		9/1		0		22
400		19/29081		19/363		0		10
402		18/29305		18/224		0		31
404		9/29306		9/1		0		11
406		10/29432		10/126		0		35
408		13/29545		13/113		0		22
410		9/29546		9/1		0		22
412		14/29782		14/236		0		36
414		9/29783		9/1		0		31
416		13/29784		13/1		0		30
418		23/30159		23/375		0		22
420		21/30373		21/214		0		7
422		7/30374		7/1		0		63
424		17/30502		17/128		0		44
426		42/31233		42/731		0		52
428		13/31383		13/150		0		48
430		13/31384		13/1		0		7
432		18/31538		18/154		0		43
434		47/32323		47/785		0		30
436		18/32452		18/129		0		43
438		8/32452		8/0		0		5
440		20/32662		20/210		0		21
442		41/33395		41/733		0		37
444		11/33521		11/126		0		48
446		11/33522		11/1		0		65
448		17/33670		17/148		0		36
450		42/34479		42/809		0		28
452		42/35250		42/771		0		27
454		6/35250		6/0		0		41
456		10/35251		10/1		0		1
458		21/35539		21/288		0		8
460		23/35980		23/441		0		10
462		10/35981		10/1		0		38
464		10/35982		10/1		0		35
466		19/36327		19/345		0		46
