Got process 8996
Got interface enp0s3
processes: 8996
intfs: enp0s3
innet: 0
outnet: 0
Sec		Netw		enp0s3		CPU		8996
0		0/0		0/0		0		87
2		38/3		38/3		0		93
4		13/4		13/1		0		97
6		0/4		0/0		0		90
8		14/5		14/1		0		98
10		0/5		0/0		0		93
12		9/5		9/0		0		97
14		0/5		0/0		0		96
16		5/5		5/0		0		73
18		11/6		11/1		0		91
20		0/6		0/0		0		96
22		14/7		14/1		0		90
24		0/7		0/0		0		75
26		10/8		10/1		0		97
28		15/9		15/1		0		86
30		0/9		0/0		0		96
32		15/10		15/1		0		91
34		0/10		0/0		0		96
36		11/11		11/1		0		93
38		11/12		11/1		0		98
40		0/12		0/0		0		95
42		5/12		5/0		0		66
44		12/13		12/1		0		96
46		0/13		0/0		0		91
48		17/14		17/1		0		97
50		0/14		0/0		0		86
52		10/15		10/1		0		94
54		0/15		0/0		0		91
56		9/16		9/1		0		88
58		0/16		0/0		0		92
60		12/17		12/1		0		92
62		0/17		0/0		0		98
64		0/17		0/0		0		93
66		22/19		22/2		0		91
68		10/20		10/1		0		97
70		0/20		0/0		0		97
72		4/20		4/0		0		73
74		8/20		8/0		0		90
76		0/20		0/0		0		92
78		20/22		20/2		0		89
80		0/22		0/0		0		96
82		13/23		13/1		0		94
84		0/23		0/0		0		87
86		0/23		0/0		0		67
88		14/24		14/1		0		97
90		10/24		10/0		0		90
92		3/24		3/0		0		88
94		0/24		0/0		0		91
96		13/25		13/1		0		93
98		0/25		0/0		0		92
100		8/25		8/0		0		92
102		6/25		6/0		0		95
104		0/25		0/0		0		75
106		14/26		14/1		0		97
108		0/26		0/0		0		92
110		0/26		0/0		0		70
112		12/27		12/1		0		93
114		0/27		0/0		0		90
116		14/28		14/1		0		98
118		0/28		0/0		0		92
120		0/28		0/0		0		95
122		14/29		14/1		0		97
124		13/30		13/1		0		98
126		0/30		0/0		0		97
128		0/30		0/0		0		86
130		0/30		0/0		0		58
132		10/31		10/1		0		98
134		0/31		0/0		0		100
136		0/31		0/0		0		97
138		9/31		9/0		0		91
140		0/31		0/0		0		95
142		0/31		0/0		0		96
144		21/33		21/2		0		91
146		0/33		0/0		0		96
148		0/33		0/0		0		93
150		10/34		10/1		0		98
152		0/34		0/0		0		97
154		9/34		9/0		0		78
156		8/34		8/0		0		97
158		0/34		0/0		0		93
160		0/34		0/0		0		88
162		1/34		1/0		0		98
164		0/34		0/0		0		90
166		0/34		0/0		0		95
168		0/34		0/0		0		88
170		0/34		0/0		0		91
172		0/34		0/0		0		91
174		0/34		0/0		0		95
176		0/34		0/0		0		97
178		0/34		0/0		0		93
180		0/34		0/0		0		91
182		0/34		0/0		0		95
184		0/34		0/0		0		92
186		0/34		0/0		0		90
188		0/34		0/0		0		92
190		0/34		0/0		0		91
192		0/34		0/0		0		96
194		0/34		0/0		0		96
196		0/34		0/0		0		95
198		0/34		0/0		0		96
200		0/34		0/0		0		93
202		0/34		0/0		0		93
204		0/34		0/0		0		0
